customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
199,Frank Perez,kevin57@example.net,+1-398-447-7178x120,"00879 Nelson Freeway Suite 882
Hendricksstad, LA 66509",2024-04-11,False,Thai,6,2.2
857,Christopher Henry,pmaddox@example.org,7688631247,"USS Williams
FPO AE 05980",2024-07-14,False,Indian,12,1.9
382,Bobby Soto,christina66@example.com,+1-376-989-6428x72246,"82875 Evelyn Coves Apt. 887
Barnesland, KY 47676",2024-04-19,True,Thai,28,1.5
895,Erin Lane,joelucero@example.com,(834)728-8739x2918,"6043 Sellers Mountains Suite 275
Martinezmouth, MD 05698",2024-11-03,False,Indian,38,1.2
61,Sydney Hebert,williamschristina@example.com,(674)595-6834,"3662 Christopher Throughway
Lake Jessicaberg, DE 50223",2023-12-31,False,Chinese,39,3.6
183,Angela Norman,matthew50@example.com,728-527-2506,"915 Simpson Club
North Vernonbury, TN 52392",2024-10-18,True,Chinese,39,4.8
523,Courtney Walker,melissajohnson@example.com,4663758251,"8390 Taylor Cliffs
Christinaburgh, AR 25094",2024-01-26,True,Thai,27,2.3
415,Peter Williams,hobbswilliam@example.org,634.973.6557,"8992 Debra Mews Suite 258
Susanstad, MN 94504",2024-07-10,True,Italian,27,1.6
37,Andrew Miller,kevin24@example.com,(519)968-9843,"303 Kevin Cape
Drakestad, AR 59417",2024-07-30,False,Mexican,49,4.1
672,Cindy Grant DVM,carladavis@example.net,+1-608-341-4285x04534,"Unit 5764 Box 1664
DPO AE 78238",2024-03-24,False,Thai,23,5.0
130,Kenneth Watson,cmartinez@example.net,001-258-662-3069x79999,"678 Michael Islands
East Michelleborough, WA 13994",2024-01-29,False,Indian,0,3.4
757,Barbara Williams,fhaley@example.org,608-328-9798x847,"72777 Dawn Hill Suite 912
Port Whitneyfort, NM 12714",2024-11-24,False,Chinese,7,1.1
133,Robert Morris,brenda11@example.org,001-680-595-0531x224,"6097 Daniel Ports Apt. 076
Port Scottshire, TN 63238",2024-10-29,True,Chinese,25,4.3
35,William Wilson,jesse24@example.com,504-757-0010x88560,"Unit 1873 Box 9801
DPO AP 27965",2024-07-21,False,Thai,45,3.5
404,Barbara Brown,aaronchapman@example.com,(480)692-1185x451,"724 Nicholas Street
North Carolview, MA 24960",2024-08-05,False,Thai,5,4.5
731,Rachel Hoover,qobrien@example.org,+1-614-511-7191x535,"04251 David Neck Suite 822
Gonzalezfurt, ID 81162",2024-04-24,False,Thai,14,3.4
825,Edwin Hardy,greenecatherine@example.org,(734)455-8961x358,"63743 Shaffer Center Suite 088
Port Tammyside, ND 78390",2023-12-15,True,Chinese,33,3.3
170,James Brown,rflowers@example.com,(338)837-3251x26504,"55761 Selena Mount
Chelseaton, AS 57823",2023-12-25,True,Indian,31,1.9
839,Robert Jones,bmorris@example.com,(867)974-4284x34433,"8428 Christine Shore
South Kelsey, NE 57371",2024-07-24,False,Chinese,4,4.6
210,Blake Stevenson,ggardner@example.org,2382229591,"97753 Spence Bypass Apt. 813
Edwardville, WA 62204",2024-04-23,True,Chinese,40,3.1
451,Larry Pope,jamiehodge@example.com,566.542.0686,"07109 Freeman Lake
Nicholasville, WA 77472",2024-10-21,True,Italian,15,4.6
762,James Hall,erik34@example.org,+1-836-970-4190x9957,"75362 Williams Junction
Port Kennethhaven, AS 05469",2024-03-20,False,Italian,4,4.5
744,Cindy Pugh,zcuevas@example.org,609-987-6262x100,"11318 Anderson Path Apt. 407
Torresshire, WA 48957",2024-08-17,True,Thai,3,1.5
484,Tara Wise,tara46@example.com,001-388-982-8116x79743,"PSC 5766, Box 6234
APO AE 51142",2024-10-12,True,Mexican,48,4.5
567,Emily Garcia,lcollins@example.com,936.980.5994,"779 Tammy Forge Suite 732
Port Lisa, SC 52015",2024-01-31,True,Chinese,1,2.1
576,Todd Morris,hardingthomas@example.org,001-248-824-9909x38498,"959 Cohen Roads Apt. 587
Millerstad, MN 71282",2024-02-27,True,Thai,21,2.9
374,Michelle Cooper,kenneth63@example.org,464-457-9639,"85519 Lisa Fall Suite 147
East Veronica, KS 58010",2024-02-12,True,Thai,25,2.5
734,Michael Hart,wolfejacob@example.net,353.227.6892,"78109 Jamie Fords Apt. 267
North Dylanshire, KS 24930",2024-03-26,False,Chinese,18,2.5
830,Christian Mason,christinapatel@example.org,001-740-520-4806x655,"Unit 2197 Box 9265
DPO AE 17965",2024-07-25,False,Indian,47,1.9
433,Amber Acevedo,ezimmerman@example.net,(643)964-3832x170,"88093 Douglas Unions Suite 120
New Jennifer, OR 89617",2024-09-16,True,Italian,44,2.0
876,Sara Thompson,fisherbrittany@example.org,+1-557-266-7060x16704,"USCGC Patel
FPO AE 65828",2024-06-09,False,Indian,26,3.8
814,Barbara Simmons,karen36@example.org,(731)469-9595x97086,"2556 Day Branch Suite 236
Garciastad, VI 39629",2024-08-04,False,Chinese,10,2.2
238,Mrs. Lindsey Tate,ytucker@example.com,001-911-975-2175x92181,"83421 Johnson Ford Suite 302
Bethanystad, MH 88397",2024-02-29,True,Thai,20,3.6
583,Andrew Matthews Jr.,ihernandez@example.com,(598)557-7309x109,"6130 Erika Lights Suite 835
Chaseport, FL 51246",2024-08-18,False,Thai,37,2.1
953,Sandra Avery,brewerpatrick@example.com,(771)345-6226,"0121 Jennifer Keys Suite 179
Matthewfort, NV 92528",2024-01-17,False,Chinese,31,2.2
750,Diane Miller,shane14@example.com,915-858-4720x1509,"368 Martin Cliffs
Mitchelltown, FL 24355",2024-10-06,False,Chinese,12,3.5
823,Patricia Cardenas,nhamilton@example.com,792.443.0513x5411,"868 Kirk Flats Suite 218
Hamiltonfurt, WA 35875",2024-02-10,True,Indian,16,2.3
241,Jill Maxwell,rdavis@example.com,(908)482-6200,"4751 Megan Highway Suite 776
Hodgesville, MH 45521",2024-06-22,False,Indian,12,3.1
182,Erin Martin,katelyn05@example.com,988.352.8859x64595,"USS Garrison
FPO AE 92801",2024-07-27,True,Italian,23,1.7
852,Taylor Collins,andreahicks@example.com,649.793.9527x22041,"0082 Alexander Union Apt. 947
Port Jaclyn, CA 50386",2024-06-01,True,Thai,37,3.9
45,Judy Lucas,ericfleming@example.org,+1-619-578-8458x843,"2159 Holt Bypass
Robertsmouth, WY 47026",2024-03-04,True,Indian,14,1.9
340,Kristin Foster,jennifer00@example.org,001-854-654-7214x530,"588 Linda Shoal Apt. 130
South Brittany, NH 87322",2024-04-24,True,Chinese,19,4.4
194,Crystal Combs,john87@example.net,844-535-8054x60283,"47427 Bonnie Port
Tylertown, UT 62444",2024-01-05,True,Indian,20,1.7
569,Robin Harrison,smithgina@example.com,001-626-696-7763x473,"Unit 1671 Box 1970
DPO AA 82743",2024-05-08,True,Mexican,47,4.2
647,Steven Larson,washingtonmary@example.com,955.531.6796x705,"49819 Amanda Island
New Williamshire, NV 48240",2024-02-14,True,Chinese,0,1.8
288,Amanda Buchanan,davidsonchris@example.com,729.830.1739,"64877 Sandra Well Suite 629
North Teresa, TX 27360",2024-05-08,False,Thai,42,1.5
715,Bryan Wall,jbeck@example.com,470.740.2110,"3788 Mike Mountain Suite 285
East Cathy, NE 17227",2024-04-04,False,Italian,29,3.6
677,Donald Taylor,qwood@example.com,+1-885-421-8315,"46017 Shelia Crest
Matthewberg, PR 96720",2024-01-29,True,Mexican,5,2.1
546,Edward Baldwin,jpeterson@example.com,732.789.1261x492,"105 Brian Mountain Apt. 682
Lake Emma, SD 37131",2024-05-18,False,Thai,4,2.0
137,Samuel Olson,charles46@example.net,(761)266-0163,"0963 Jason Lake Suite 080
South Leslie, FL 56715",2024-08-03,False,Mexican,6,1.3
937,Daniel Byrd,lee61@example.net,531-649-3805x5805,"0295 Maria Tunnel
Port Cynthiashire, KS 56429",2024-07-03,True,Mexican,38,4.6
10,Samuel Keller,qburns@example.net,001-967-444-6372x21885,"20991 Adams Common Apt. 855
West Jose, CO 98189",2024-04-04,False,Thai,27,3.3
633,Susan Lopez,whughes@example.com,238.982.5171x872,"4059 Travis Mountains
Port Daniel, NC 60278",2024-10-05,False,Indian,37,2.3
517,Miss Melissa Atkinson,stodd@example.net,282.583.6934,"738 Madden Expressway Apt. 627
Fryfort, PA 36346",2024-10-30,False,Chinese,35,1.8
190,Derek Parsons,jason65@example.com,+1-428-375-8189x5572,"1482 Meyer Streets
Lake Reginald, VA 56397",2024-10-08,True,Indian,30,1.2
486,Gabriela Williams,robinsonraymond@example.net,+1-462-259-9231x624,"4644 Natasha Stream Suite 223
North Kevinmouth, NJ 71878",2024-10-18,True,Indian,16,2.8
894,Tonya Brown,jamestorres@example.net,(701)885-3360x3629,"2716 King Station
Port Jodi, OR 69650",2024-02-07,True,Indian,42,4.2
596,Patrick Perry,jonesrebecca@example.net,001-855-292-5743x83275,"USS Lopez
FPO AE 01616",2024-12-14,False,Italian,43,4.7
440,Jeremy Erickson MD,iabbott@example.net,689-785-2558x95654,"543 Richard Keys Suite 697
Port Jamesborough, NJ 77640",2024-02-09,True,Chinese,12,1.2
360,William Ramos,hchavez@example.org,632-386-6970,"5926 Christopher Isle
West Jillville, UT 08499",2024-10-19,True,Chinese,34,2.3
999,James Ross,ramseychristian@example.com,001-434-721-7618x35123,"70786 Rowe Park
Brownborough, OR 04755",2024-04-05,False,Chinese,33,1.5
726,Michael Ferguson,smejia@example.org,+1-795-498-9211x634,"83259 Foster Courts Suite 331
Alexanderville, MN 21212",2024-10-27,True,Italian,15,3.8
998,Sean Martinez,austinhicks@example.net,303-699-0067x0815,"925 Wu Burg Apt. 402
Lake Austin, KS 27852",2024-06-21,False,Thai,45,3.6
635,Sarah May,adavis@example.com,(652)253-1204,"04710 Brittney Oval Suite 132
Johnsonfurt, KS 28372",2024-11-08,False,Mexican,3,2.2
844,Michael Johnson,butlersusan@example.com,624-299-2216,"956 Debra Mount Suite 235
Lake Kristen, MI 70318",2024-08-08,False,Indian,33,2.8
